id,type2,fname,cname,sname,rname,fplv,fcname,fspt,fename,rdate,fskl,energy,cenergy,cpower
BT10-006,BATTLE,"Son Goku, Savagery Awakened ",Red,Unison Warrior SeriesRise of the Unison Warrior,Uncommon[UC],25000,Son Goku: Childhood,Saiyan/Great Ape,Pilaf Saga,"July 17, 2020","**[Deflect]** 
**[Auto]**  Place 2 cards from your life in your Drop Area : When this card is played, deal 1 damage to your opponent.",5((R)(R)(R)(R)(R)),1,10000
BT10-007,BATTLE,"Son Goku, Bursting with Energy",Red,Unison Warrior SeriesRise of the Unison Warrior,Rare[R],5000,Son Goku: Childhood,Saiyan,Pilaf Saga,"July 17, 2020","**[Auto]** **[Once per turn]**  Add 1 card from your life to your hand : When this card attacks a card that isn't a Leader Card, switch this card to Active Mode and it gets +10000 power for the turn.",1((R)),0,5000
BT10-008,BATTLE,"Yamcha, Merciless Barrage",Red,Unison Warrior SeriesRise of the Unison Warrior,Super Rare[SR],15000,Yamcha,Earthling,Pilaf Saga,"July 17, 2020","**[Counter Play]**  You can't activate the **[Counter Play]**  skills of other cards for the turn : Choose up to 2 of your opponent's Battle Cards, they get -15000 power for the turn, then play this card.
**[Permanent]**  If you have a red Unison Card with 2 or more markers in play, you can activate this card's **[Counter]**  skill from your hand without paying its energy cost.",3((R)),0,5000
BT10-009,BATTLE,"Yamcha, the Desert Hyena",Red,Unison Warrior SeriesRise of the Unison Warrior,Rare[R],20000,Yamcha,Earthling,Pilaf Saga,"July 17, 2020","**[Permanent]**  If your Leader Card is red, this card gets +10000 power.
**[Auto]** **[Once per turn]**  During a battle where this card is attacking, when your opponent activates a **[Counter]**  skill, switch this card to Active Mode.
**[Auto]** **[Once per turn]**  When this card KOs an opponent's Battle Card, switch this card to Active Mode and it gets +10000 power and **[Triple Strike]**  for the turn.",4((R)(R)(R)),0,5000
BT10-010,BATTLE,"Master Roshi, Martial Virtuoso",Red,Unison Warrior SeriesRise of the Unison Warrior,Uncommon[UC],5000,Master Roshi,Earthling,Pilaf Saga,"July 17, 2020","**[Counter Attack]**  If you have a red Unison Card in play : Your opponent can't attack with Battle Cards with 25000 power or more for the turn, then play this card.",1((R)),0,5000
BT10-011,BATTLE,Bulma the Bunny Girl,Red,Unison Warrior SeriesRise of the Unison Warrior,Super Rare[SR],1000,Bulma,Earthling,Pilaf Saga,"July 17, 2020","**[Unique]** **[Blocker]** 
**[Auto]**  When one of your red Earthling cards other than a Bulma card is removed from a Battle Area by an opponent's skill, you may play this card from your hand. If you do, play up to 1 red Earthling-only Battle Card with an energy cost of 4 or less from your Drop Area.",2((R)(R)),0,5000
BT10-012,BATTLE,"Bulma, Out Adventuring",Red,Unison Warrior SeriesRise of the Unison Warrior,Uncommon[UC],1000,Bulma,Earthling,Pilaf Saga,"July 17, 2020","**[Super Combo]** 
**[Auto]**  If your Leader Card is red and you and your opponent have a total of 8 or less life : When this card is used in a combo, draw 1 card, then if it's your turn, choose up to 1 red Earthling card with an energy cost of 1 in your hand and play it.
**[Activate Main]** **[Once per turn]**  Choose 1 of your mono-red Battle Cards or Unison Cards and it gets +5000 power for the turn.",1((R)),0,10000
BT10-013,BATTLE,"Chi-Chi, Ox-King's Daughter",Red,Unison Warrior SeriesRise of the Unison Warrior,Common[C],15000,Chi-Chi,Earthling,Pilaf Saga,"July 17, 2020","**[Super Combo]** 
**[Auto]**  If your Leader Card is red and your life is at 4 or less : When this card is used in a combo, draw 1 card.",2((R)(R)),0,10000
BT10-014,BATTLE,Innocent Princess Chi-Chi,Red,Unison Warrior SeriesRise of the Unison Warrior,Common[C],1000,Chi-Chi,Earthling,Pilaf Saga,"July 17, 2020","**[Unique]** **[Blocker]** 
**[Activate Main]**  If you have a red Unison Card with 3 or more markers in play : Play this card from your hand.",2((R)(R)),0,5000
BT10-015,BATTLE,"Oolong, the Many-Faced",Red,Unison Warrior SeriesRise of the Unison Warrior,Common[C],10000,Oolong,Earthling,Pilaf Saga,"July 17, 2020","**[Blocker]** 
**[Auto]**  When this card is KO'd, draw 1 card, then choose up to 1 of your red Unison Cards and it gets +5000 power for the turn.",2((R)),0,5000
BT10-016,BATTLE,"Oolong, Goku's Pal",Red,Unison Warrior SeriesRise of the Unison Warrior,Rare[R],4000,Oolong,Earthling,Pilaf Saga,"July 17, 2020","**[Auto]**  When this card is played, draw 1 card.
**[Activate Battle]**  Place this card in its owner's Drop Area : Choose 1 of your red Unison Cards and it gets +10000 power for the battle.",1((R)),0,5000
BT10-017,BATTLE,"Puar, Yamcha's Sidekick",Red,Unison Warrior SeriesRise of the Unison Warrior,Common[C],1000,Puar,Earthling,Pilaf Saga,"July 17, 2020","**[Auto]**  If it's your turn : When this card is used in a combo with a red Yamcha card, it gets +5000 combo power for the battle.",1((R)),0,5000
BT10-018,BATTLE,Ox-King,Red,Unison Warrior SeriesRise of the Unison Warrior,Common[C],30000,Ox-King,Earthling,Pilaf Saga,"July 17, 2020",-,3((R)(R)),0,5000
BT10-019,BATTLE,"Pilaf, Plotting World Domination",Red,Unison Warrior SeriesRise of the Unison Warrior,Common[C],5000,Pilaf,Earthling,Pilaf Saga,"July 17, 2020","**[Auto]**  When this card is played, look at up to 5 cards from the top of your deck, add up to 1 red Unison Card with a specified cost of 4 or 1 red Earthling card with an energy cost of 4 or less among them to your hand, then shuffle your deck.",1((R)),0,5000
BT10-020,BATTLE,"Pilaf, Dragon Ball Chaser",Red,Unison Warrior SeriesRise of the Unison Warrior,Common[C],15000,Pilaf,Earthling,Pilaf Saga,"July 17, 2020","**[Unique]** 
**[Auto]**  If your Leader Card is a Pilaf card and you have 3 or more mono-red energy : When this card is played from your hand, play up to 1 red Mai card and up to 1 red Shu card with energy costs of 2 from your deck, then shuffle your deck.",2((R)),0,5000
BT10-021,BATTLE,"Shu, Pilaf's Admirer",Red,Unison Warrior SeriesRise of the Unison Warrior,Common[C],5000,Shu,Earthling,Pilaf Saga,"July 17, 2020",**[Activate Main]**  Place this card in its owner's Drop Area : Choose up to 1 red Pilaf or Mai card in your hand with an energy cost of 2 or less and play it.,1((R)),0,5000
