id,img
BT10-001,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-001.png
BT10-001_b,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-001_b.png
BT10-002,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-002.png
BT10-002_b,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-002_b.png
BT10-003,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-003.png
BT10-004,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-004.png
BT10-005,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-005.png
BT10-006,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-006.png
BT10-007,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-007.png
BT10-008,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-008.png
BT10-009,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-009.png
BT10-010,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-010.png
BT10-011,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-011.png
BT10-012,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-012.png
BT10-013,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-013.png
BT10-014,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-014.png
BT10-015,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-015.png
BT10-016,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-016.png
BT10-017,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-017.png
BT10-018,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-018.png
BT10-019,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-019.png
BT10-020,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-020.png
BT10-021,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-021.png
BT10-022,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-022.png
BT10-023,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-023.png
BT10-024,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-024.png
BT10-025,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-025.png
BT10-026,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-026.png
BT10-027,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-027.png
BT10-028,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-028.png
BT10-029,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-029.png
BT10-030,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-030.png
BT10-031,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-031.png
BT10-031_b,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-031_b.png
BT10-032,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-032.png
BT10-032_b,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-032_b.png
BT10-033,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-033.png
BT10-034,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-034.png
BT10-035,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-035.png
BT10-036,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-036.png
BT10-037,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-037.png
BT10-038,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-038.png
BT10-039,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-039.png
BT10-040,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-040.png
BT10-041,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-041.png
BT10-042,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-042.png
BT10-043,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-043.png
BT10-044,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-044.png
BT10-045,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-045.png
BT10-046,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-046.png
BT10-047,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-047.png
BT10-048,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-048.png
BT10-049,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-049.png
BT10-050,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-050.png
BT10-051,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-051.png
BT10-052,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-052.png
BT10-053,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-053.png
BT10-054,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-054.png
BT10-055,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-055.png
BT10-056,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-056.png
BT10-057,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-057.png
BT10-058,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-058.png
BT10-059,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-059.png
BT10-060,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-060.png
BT10-060_b,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-060_b.png
BT10-061,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-061.png
BT10-061_b,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-061_b.png
BT10-062,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-062.png
BT10-063,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-063.png
BT10-064,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-064.png
BT10-065,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-065.png
BT10-066,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-066.png
BT10-067,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-067.png
BT10-068,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-068.png
BT10-069,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-069.png
BT10-070,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-070.png
BT10-071,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-071.png
BT10-072,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-072.png
BT10-073,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-073.png
BT10-074,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-074.png
BT10-075,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-075.png
BT10-076,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-076.png
BT10-077,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-077.png
BT10-078,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-078.png
BT10-079,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-079.png
BT10-080,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-080.png
BT10-081,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-081.png
BT10-082,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-082.png
BT10-083,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-083.png
BT10-084,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-084.png
BT10-085,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-085.png
BT10-086,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-086.png
BT10-087,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-087.png
BT10-088,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-088.png
BT10-089,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-089.png
BT10-090,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-090.png
BT10-091,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-091.png
BT10-092,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-092.png
BT10-092_b,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-092_b.png
BT10-093,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-093.png
BT10-093_b,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-093_b.png
BT10-094,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-094.png
BT10-095,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-095.png
BT10-096,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-096.png
BT10-097,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-097.png
