id,type2,fname,cname,sname,rname,rdate,fskl,energy
BT10-028,EXTRA,Pilaf's Castle,Red,Unison Warrior SeriesRise of the Unison Warrior,Common[C],"July 17, 2020","**[Field]** 
**[Auto]**  If your Leader Card is a red Pilaf card and you choose 2 cards from your hand and place them at the bottom of your deck in any order : When you activate this card, draw 3 cards.
**[Activate Main]**  Switch this card to Rest Mode, then choose 1 of your red Battle Cards and place it in its owner's Drop Area : Choose 1 of your Battle Cards and it gets +5000 power for the turn.",1((R))
BT10-029,EXTRA,Pilaf Missile,Red,Unison Warrior SeriesRise of the Unison Warrior,Rare[R],"July 17, 2020","**[Counter Play]**  If you have a red Unison Card in play : If the Battle Card being played has 15000 power or less, it's placed in its owner's Drop Area instead of being played, then choose up to 1 of your Leader Cards and it gets +5000 power for the turn.
**[Permanent]**  If all of your energy is mono-red, you can activate this card's **[Counter]**  skill from your hand without paying its energy cost by choosing 2 other cards in your hand and discarding them.",2((R)(R))
BT10-030,EXTRA,Wolf Fang Fist,Red,Unison Warrior SeriesRise of the Unison Warrior,Super Rare[SR],"July 17, 2020","**[Counter Attack]**  If your Leader Card is mono-red : Choose up to 1 attacking Battle Card or Leader Card, ignoring **[Barrier]** , and it gets -15000 power for the battle.
**[Permanent]**  If you have a red Unison Card in play, you can activate this card's **[Counter]**  skill from your hand without paying its energy cost.",1((R))
BT10-056,EXTRA,Final Hope Slash,Blue,Unison Warrior SeriesRise of the Unison Warrior,Super Rare[SR],"July 17, 2020","**[Counter Attack]**  If your Leader Card is mono-blue : Switch up to 1 of your mono-blue energy to Active Mode, then choose up to 1 of your opponent's Battle Cards with 15000 power or less, ignoring **[Barrier]** , and return it to its owner's hand.
**[Permanent]**  If you have a blue Unison Card in play, you can activate this card's **[Counter]**  skill from your hand without paying its energy cost.",1((U))
BT10-057,EXTRA,God-Slicing Black Kamehameha,Blue,Unison Warrior SeriesRise of the Unison Warrior,Rare[R],"July 17, 2020","**[Counter Play]**  If you have a blue Unison Card in play : Draw 1 card; if the Battle Card being played has an energy cost of 4 or less, it's placed at the bottom of its owner's deck instead of being played.
**[Permanent]**  If all of your energy is mono-blue, you can activate this card's **[Counter]**  skill from your hand without paying its energy cost by choosing 2 other cards in your hand and discarding them.",2((U)(U))
BT10-058,EXTRA,Tragedy Overground,Blue,Unison Warrior SeriesRise of the Unison Warrior,Common[C],"July 17, 2020","**[Field]** 
**[Permanent]**  This card can't be removed from your Battle Area by the skills of your opponent's Battle Cards.
**[Permanent]**  When your opponent plays a Battle Card with an energy cost of 4 or more, it is placed it in its owner's energy in Rest Mode instead. 
**[Auto]**  When this card is activated, choose all of your opponent's Battle Cards, ignoring **[Barrier]** , and place them in their owners' energy in Rest Mode.",9((U)(U)(U)(U))
BT10-059,EXTRA,Absolute Confidence,Blue,Unison Warrior SeriesRise of the Unison Warrior,Common[C],"July 17, 2020","**[Activate: Main/Battle]**  Choose one?
 Choose up to 1 of your opponent's Battle Cards with an energy cost of 3 or less, return it to its owner's hand, and draw 1 card.
 Choose 1 of your opponent's Unison Cards and remove a marker from it.",2((U)(U))
BT10-088,EXTRA,Dormant Potential Unleashed,Green,Unison Warrior SeriesRise of the Unison Warrior,Super Rare[SR],"July 17, 2020","**[Counter Attack]**  If your Leader card is mono-green : Choose any number of your opponent's Battle Cards that add up to a total energy cost of 2 or less and KO them. Additionally, you may choose 1 green card in your hand and discard it. If you do, your opponent can only attack once more this turn.
**[Permanent]**  If you have a green Unison Card in play, you can activate this card's **[Counter]**  skill from your hand without paying its energy cost.",1((G))
BT10-089,EXTRA,Blue Impulse,Green,Unison Warrior SeriesRise of the Unison Warrior,Common[C],"July 17, 2020","**[Permanent]**  If your Leader Card is green and you have a green Unison Card in play, reduce the energy cost of this card in your hand by 1.
**[Activate Main]**  If your opponent played a Battle Card this turn, choose all of your opponent's Battle Cards and KO them.",2((G))
BT10-090,EXTRA,Dark Death Ball,Green,Unison Warrior SeriesRise of the Unison Warrior,Rare[R],"July 17, 2020","**[Counter Play]**  If you have a green Unison Card in play : If the Battle Card being played has an energy cost of 4 or less, it's placed in its owner's Drop Area instead of being played, then choose up to 1 of your opponent's Battle Cards with an energy cost of 1 and KO it.
**[Permanent]**  If all of your energy is mono-green, you can activate this card's **[Counter]**  skill from your hand without paying its energy cost by choosing 2 other cards in your hand and discarding them.",2((G)(G))
BT10-091,EXTRA,"One-Star Ball, Parasitic Darkness",Green,Unison Warrior SeriesRise of the Unison Warrior,Uncommon[UC],"July 17, 2020","**[Permanent]**  This card gains Dark Dragon Ball in all areas.
**[Activate Battle]**  Choose 1 of your cards and it gets +5000 power for the battle.
**[Activate Main]**  Choose 1 Frieza card with an energy cost of 4 in your Battle Area and place this card under it : Play up to 1 green Frieza : Xeno card in your deck or hand on top of the chosen card in Active Mode, then shuffle your deck if you looked through it. ",0(-)
BT10-121,EXTRA,Dark Dragon-Slaying Bullet,Yellow,Unison Warrior SeriesRise of the Unison Warrior,Rare[R],"July 17, 2020","**[Counter Play]**  If you have a yellow Unison Card in play : If the Battle Card being played has an energy cost of 4 or less, it has its skills negated for the turn and is played in Rest Mode.
**[Permanent]**  If all of your energy is mono-yellow, you can activate this card's **[Counter]**  skill from your hand without paying its energy cost by choosing 2 other cards from your hand and discarding them.",2((Y)(Y))
