id,type2,fname,bname,cname,sname,rname,fplv,bplv,fcname,bcname,fspt,bspt,fename,bename,rdate,fskl,bskl
BT10-001,LEADER,Yamcha,"Yamcha, Supersonic Striker",Red,Unison Warrior SeriesRise of the Unison Warrior,Uncommon[UC],10000,15000,Yamcha,Yamcha,Earthling,Earthling,Pilaf Saga,Pilaf Saga,"July 17, 2020","**[Auto]**  When this card attacks, look at up to 2 cards from the top of your deck, add up to 1 red card among them to your hand, then place any remaining cards in your Drop Area and this card gets +5000 power for the turn.
**[Awaken]**  When your life is at 5 or less : You may draw 1 card, then switch up to 1 of your energy to Active Mode and flip this card over.","**[Auto]**  When this card attacks, look at up to 2 cards from the top of your deck, add up to 1 red card among them to your hand, then place any remaining cards in your Drop Area and this card gets +5000 power for the turn.
**[Auto]**  If you have a red Unison Card in play : When your opponent takes damage from non-keyword skills on your Battle Cards or Unison Cards, deal 1 damage to your opponent, then negate this skill for the game."
BT10-002,LEADER,Pilaf,"Pilaf, Shu, and Mai Assemble!",Red,Unison Warrior SeriesRise of the Unison Warrior,Common[C],10000,15000,Pilaf,Pilaf/Shu/Mai,Earthling,Earthling,Pilaf Saga,Pilaf Saga,"July 17, 2020","**[Auto]**  When this card attacks, draw 1 card.
**[Awaken]**  When your life is at 4 or less or you have 3 or more Battle Cards in play : You may switch up to 2 of your energy to Active Mode and flip this card over.","**[Auto]**  When this card attacks, draw 1 card.
**[Activate Main]** **[Once per turn]**  Choose 3 of your Battle Cards and place them in their owners' Drop Areas : Choose 1 of your red Unison Cards and it gains **[Triple Attack]**  for the turn."
BT10-031,LEADER,Trunks,"SS2 Trunks, Envoy of Justice",Blue,Unison Warrior SeriesRise of the Unison Warrior,Common[C],10000,15000,Trunks: Future,Trunks: Future,Saiyan/Earthling,Saiyan/Earthling,Future Trunks Saga,Future Trunks Saga,"July 17, 2020","**[Permanent]**  During your opponent's turn, if you would add a card from your life to your hand or place it in your Drop Area, you may reveal it and add it to your hand instead.
**[Auto]**  When this card attacks, draw 1 card.
**[Awaken]**  When your life or your opponent's life is at 4 or less : You may draw 1 card, then switch up to 1 of your energy to Active Mode and flip this card over.","**[Permanent]**  During your opponent's turn, if you would add a card from your life to your hand or place it in your Drop Area, you may reveal it and add it to your hand instead.
**[Auto]**  When this card attacks, draw 1 card.
**[Activate Main]** **[Once per turn]** (U)(U) : Choose 1 of your opponent's Battle Cards and place it at the bottom of its owner's deck; at the end of the turn, switch up to 1 of your mono-blue energy to Active Mode."
BT10-032,LEADER,Potara-Fused Zamasu,"Fused Zamasu, Divine Ruinbringer",Blue,Unison Warrior SeriesRise of the Unison Warrior,Uncommon[UC],10000,15000,Zamasu,Zamasu,God,God,Future Trunks Saga,Future Trunks Saga,"July 17, 2020","**[Auto]**  When this card attacks, draw 1 card.
**[Awaken]**  When your life is at 4 or less or you have 4 or more energy : You may draw 1 card, then switch up to 1 of your energy to Active Mode and flip this card over.","**[Auto]**  When this card attacks, draw 1 card.
**[Activate Main]** **[Once per turn]**  Place 1 of your energy in its owner's Drop Area : Choose one?
 This card gains **[Dual Attack]**  for the turn.
 Choose 1 of your opponent's Battle Cards and place it at the bottom of its owner's deck."
BT10-060,LEADER,Son Goku,Ferocious Strike SS Son Goku,Green,Unison Warrior SeriesRise of the Unison Warrior,Uncommon[UC],10000,15000,Son Goku,Son Goku,Saiyan,Saiyan,Frieza Saga,Frieza Saga,"July 17, 2020","**[Auto]** **[Burst 3]**  When this card attacks, draw 1 card.
**[Auto]**  When one of your Battle Cards is KO'd, you may flip this card over. If you do, draw 1 card, then switch up to 1 of your energy to Active Mode.
**[Awaken]**  When your life is at 4 or less : You may draw 2 cards, and flip this card over.","**[Auto]** **[Burst 3]**  When this card attacks, draw 1 card.
**[Activate: Main/Battle]** **[Once per turn]**  Place 2 cards from your life in your Drop Area : Choose all of your Battle Cards and your opponent's Battle Cards, ignoring **[Barrier]** , and place them in their owners' Drop Areas."
BT10-061,LEADER,Ginyu,"Ginyu, New Leader of the Force",Green,Unison Warrior SeriesRise of the Unison Warrior,Common[C],10000,15000,Ginyu,Ginyu,Ginyu Force/Frieza's Army,Ginyu Force/Frieza's Army,Frieza Saga,Frieza Saga,"July 17, 2020","**[Auto]**  When this card attacks, reveal the top card of your deck; if it's a green Ginyu Force card with an energy cost of 2, you may play it. Then draw 1 card.
**[Awaken]**  When your life is at 4 or less or you have 4 or more Ginyu Force cards in play in your Battle Area : You may draw 2 cards, and flip this card over.","**[Auto]**  When this card attacks, reveal the top card of your deck; if it's a green Ginyu Force card with an energy cost of 2, you may play it. Then draw 1 card.
**[Activate Battle]** **[Once per turn]**  (G) : Choose 1 green Ginyu Force card in your Battle Area and it gets +10000 power for the battle."
BT10-092,LEADER,Gotenks,"SS Gotenks, Display of Mastery",Yellow,Unison Warrior SeriesRise of the Unison Warrior,Common[C],10000,15000,Gotenks: Adolescence,Gotenks: Adolescence,Saiyan/Earthling,Saiyan/Earthling,Special,Special,"July 17, 2020","**[Auto]**  When this card attacks, add up to 1 card from your life to your hand, then draw 1 card.
**[Auto]** **[Once per turn]**  If your opponent has 1 or more energy : When your opponent activates an Extra Card, draw 1 card.
**[Awaken]**  When your life is at 4 or less : You may switch up to 2 of your energy to Active Mode and flip this card over.","**[Auto]**  When this card attacks, draw 1 card.
**[Auto]** **[Once per turn]**  When your opponent activates an Extra Card, draw 1 card, then choose up to 1 of your opponent's Battle Cards and switch it to Rest Mode.
**[Auto]** **[Once per turn]**  When you activate **[Union-Fusion]** , this card gets +5000 power and **[Critical]**  for the turn."
BT10-093,LEADER,Syn Shenron,"Syn Shenron, Negative Energy Overflow",Yellow,Unison Warrior SeriesRise of the Unison Warrior,Uncommon[UC],10000,15000,Syn Shenron,Syn Shenron,Shadow Dragon,Shadow Dragon,Shadow Dragon Saga,Shadow Dragon Saga,"July 17, 2020","**[Auto]**  When this card attacks, look at up to 5 cards from the top of your deck, add up to 1 Shadow Dragon card among them to your hand, then shuffle your deck.
**[Auto]**  At the end of your turn, choose up to 1 yellow Shadow Dragon card in your Battle Area and switch it to Active Mode.
**[Awaken]**  When your life is at 3 or less, or you have a yellow Unison Card with a specified cost of 4 in play : You may draw 2 cards, then switch up to 1 of your energy to Active Mode and flip this card over.","**[Auto]**  When this card attacks, draw 1 card.
**[Auto]**  At the end of your turn, choose all yellow Shadow Dragon cards in your Battle Area and switch them to Active Mode.
**[Activate Main]** (Y)(Y)(Y)(Y)(Y)(Y) : Play up to 7 Shadow Dragon cards with different card names from your Drop Area."
BT9-001,LEADER,Frieza,"Frieza, the Planet Wrecker",Red,Series 9-UNIVERSAL ONSLAUGHT-,Common[C],10000,15000,Frieza,Frieza,Frieza Clan/Frieza's Army,Frieza Clan/Frieza's Army,Frieza Saga,Frieza Saga,"February 7, 2020","**[Activate Main]** **[Once per turn]**  Look at up to 3 cards from the top of your deck, choose up to 1 Frieza Clan card among them, add it to your hand, then place the remaining cards at the bottom of your deck in any order.
**[Awaken]**  When your life is at 4 or less : You may draw 1 card, then choose up to 1 of your energy, switch it to Active Mode, and flip this card over.","**[Auto]**  When this card attacks, draw 1 card.
**[Activate Battle]** **[]**  : Choose 1 Frieza Clan card in your Battle Area and it gains **[Critical]**  for the duration of the turn."
BT9-002,LEADER,Cooler,"Cooler, Revenge Transformed",Red,Series 9-UNIVERSAL ONSLAUGHT-,Uncommon[UC],10000,15000,Cooler,Cooler,Frieza Clan,Frieza Clan,Cooler Saga,Cooler Saga,"February 7, 2020","**[Auto]**  When this card attacks a Leader Card, draw 1 card.
**[Auto]**  When the power of one of your opponent's Battle Cards is decreased, your opponent places the top card of their deck in their Drop Area.
**[Auto]** **[Once per turn]**  If it's your opponent's turn : When the power of one of your opponent's Battle Cards is decreased by the skill of one of your Battle Cards, draw 1 card.
**[Awaken]**  When your life is at 4 or less : You may draw 1 card, then choose up to 1 of your energy, switch it to Active Mode, and flip this card over.","**[Auto]**  When this card attacks, draw 1 card.
**[Auto]**  When the power of one of your opponent's Battle Cards is decreased, your opponent places the top card of their deck in their Drop Area.
**[Auto]** **[Once per turn]**  When the power of one of your opponent's Battle Cards is decreased by the skill of one of your Battle Cards, draw 1 card."
